date,n,jour,ere,type,boules,chance,complementaire,id_fdj,rang1_gagnants,rang1_rapport,rang2_gagnants,rang2_rapport,rang3_gagnants,rang3_rapport,rang4_gagnants,rang4_rapport,rang5_gagnants,rang5_rapport,rang6_gagnants,rang6_rapport,rang7_gagnants,rang7_rapport,rang8_gagnants,rang8_rapport,rang9_gagnants,rang9_rapport
1976-05-19,1,mercredi,6/49,regulier,15-27-31-33-36-48,,34,,0,0.00,0,0.00,7,18926.00,429,185.00,6836,16.00,0,0.00,0,0.00,,,,
1976-06-03,1,jeudi,6/49,regulier,1-4-10-14-26-42,,31,,1,96480.00,0,0.00,49,2856.00,1400,74.00,20731,7.00,0,0.00,0,0.00,,,,
1976-06-10,1,jeudi,6/49,regulier,1-10-15-16-44-47,,27,,0,0.00,0,0.00,4,34118.00,359,228.00,9676,12.00,0,0.00,0,0.00,,,,
1976-06-16,1,mercredi,6/49,regulier,1-2-3-13-28-35,,49,,0,0.00,2,27458.00,16,5148.00,1214,67.00,21242,5.00,0,0.00,0,0.00,,,,
1976-06-23,1,mercredi,6/49,regulier,9-11-22-23-30-47,,49,,0,0.00,0,0.00,21,8411.00,903,117.00,17671,8.00,0,0.00,0,0.00,,,,
1976-06-30,1,mercredi,6/49,regulier,5-10-17-25-35-46,,1,,0,0.00,0,0.00,10,19434.00,1074,108.00,20154,8.00,0,0.00,0,0.00,,,,
1976-07-07,1,mercredi,6/49,regulier,5-19-27-32-34-45,,15,,0,0.00,1,82391.00,16,7724.00,922,134.00,15920,11.00,0,0.00,0,0.00,,,,
1976-07-15,1,jeudi,6/49,regulier,5-27-28-29-41-42,,8,,0,0.00,1,76015.00,5,22804.00,196,581.00,8276,19.00,0,0.00,0,0.00,,,,
1976-07-21,1,mercredi,6/49,regulier,2-15-19-27-31-43,,5,,0,0.00,0,0.00,32,8756.00,1312,128.00,22809,10.00,0,0.00,0,0.00,,,,
1976-07-28,1,mercredi,6/49,regulier,10-16-35-37-40-49,,7,,0,0.00,0,0.00,11,25799.00,862,197.00,14970,16.00,0,0.00,0,0.00,,,,
1976-08-05,1,jeudi,6/49,regulier,4-6-25-37-45-47,,42,,0,0.00,0,0.00,12,22149.00,771,206.00,18185,12.00,0,0.00,0,0.00,,,,
1976-08-11,1,mercredi,6/49,regulier,8-9-17-31-33-42,,26,,0,0.00,0,0.00,19,15125.00,1554,110.00,26693,9.00,0,0.00,0,0.00,,,,
1976-08-18,1,mercredi,6/49,regulier,1-3-9-21-24-34,,48,,0,0.00,0,0.00,23,13073.00,2253,80.00,43236,6.00,0,0.00,0,0.00,,,,
1976-08-25,1,mercredi,6/49,regulier,7-8-11-32-34-38,,48,,0,0.00,1,132886.00,25,7973.00,1657,120.00,36280,7.00,0,0.00,0,0.00,,,,
1976-09-01,1,mercredi,6/49,regulier,8-16-26-27-33-42,,25,,0,0.00,0,0.00,7,53293.00,1116,200.00,25793,12.00,0,0.00,0,0.00,,,,
1976-09-08,1,mercredi,6/49,regulier,3-17-22-25-30-38,,13,,1,808052.00,4,21908.00,86,3057.00,2737,96.00,36404,10.00,0,0.00,0,0.00,,,,
1976-09-15,1,mercredi,6/49,regulier,3-7-8-27-33-39,,28,,1,191187.00,0,0.00,63,6069.00,2902,98.00,55933,7.00,0,0.00,0,0.00,,,,
1976-09-22,1,mercredi,6/49,regulier,9-10-24-32-35-36,,11,,0,0.00,0,0.00,40,13706.00,2238,146.00,46420,10.00,0,0.00,0,0.00,,,,
1976-09-29,1,mercredi,6/49,regulier,7-8-11-14-15-35,,24,,0,0.00,3,83161.00,131,2856.00,6379,58.00,99303,5.00,0,0.00,0,0.00,,,,
1976-10-06,1,mercredi,6/49,regulier,5-6-26-30-38-47,,8,,0,0.00,1,271399.00,31,13132.00,1916,212.00,48461,12.00,0,0.00,0,0.00,,,,
1976-10-13,1,mercredi,6/49,regulier,2-19-20-26-36-46,,35,,0,0.00,0,0.00,39,19757.00,2250,205.00,49903,13.00,0,0.00,0,0.00,,,,
1976-10-20,1,mercredi,6/49,regulier,13-14-20-26-33-48,,18,,0,0.00,4,86211.00,69,7496.00,3658,141.00,68532,10.00,0,0.00,0,0.00,,,,
1976-10-27,1,mercredi,6/49,regulier,5-13-17-25-40-43,,10,,6,1111823.00,6,34599.00,129,4827.00,6526,95.00,117000,7.00,0,0.00,0,0.00,,,,
1976-11-04,1,jeudi,6/49,regulier,8-9-30-33-40-46,,3,,0,0.00,1,500108.00,38,19741.00,2834,264.00,74136,14.00,0,0.00,0,0.00,,,,
1976-11-10,1,mercredi,6/49,regulier,3-17-26-30-38-41,,32,,1,812217.00,3,93693.00,83,10159.00,6317,133.00,96725,12.00,0,0.00,0,0.00,,,,
1976-11-17,1,mercredi,6/49,regulier,2-8-20-32-44-45,,38,,0,0.00,3,223881.00,111,9076.00,6638,151.00,124427,11.00,0,0.00,0,0.00,,,,
1976-11-24,1,mercredi,6/49,regulier,5-12-19-20-23-25,,10,,3,368478.00,17,22635.00,476,2425.00,19430,59.00,284486,5.00,0,0.00,0,0.00,,,,
1976-12-01,1,mercredi,6/49,regulier,16-18-22-26-28-37,,7,,0,0.00,18,47228.00,142,8979.00,9294,137.00,183084,10.00,0,0.00,0,0.00,,,,
1976-12-08,1,mercredi,6/49,regulier,7-12-26-31-38-49,,42,,2,685874.00,4,118336.00,269,5278.00,12456,114.00,204321,10.00,0,0.00,0,0.00,,,,
1976-12-15,1,mercredi,6/49,regulier,9-19-26-32-39-45,,43,,0,0.00,1,1007451.00,171,8837.00,9389,160.00,185301,11.00,0,0.00,0,0.00,,,,
1976-12-22,1,mercredi,6/49,regulier,1-3-7-20-25-36,,28,,0,0.00,5,214862.00,302,5335.00,18364,87.00,323322,7.00,0,0.00,0,0.00,,,,
1976-12-29,1,mercredi,6/49,regulier,9-12-18-24-32-47,,41,,4,530383.00,11,49120.00,617,2627.00,22039,73.00,325925,7.00,0,0.00,0,0.00,,,,
1977-01-05,1,mercredi,6/49,regulier,1-20-26-32-34-36,,42,,0,0.00,1,1126277.00,164,10301.00,9342,180.00,203934,11.00,0,0.00,0,0.00,,,,
1977-01-12,1,mercredi,6/49,regulier,8-15-16-17-31-43,,24,,0,0.00,7,194389.00,147,13884.00,11940,170.00,263670,11.00,0,0.00,0,0.00,,,,
1977-01-19,1,mercredi,6/49,regulier,2-14-33-39-41-45,,44,,0,0.00,5,333393.00,261,9580.00,14139,176.00,269456,13.00,0,0.00,0,0.00,,,,
1977-01-26,1,mercredi,6/49,regulier,7-9-12-21-42-45,,23,,2,1946207.00,7,129673.00,579,4703.00,33407,81.00,579817,6.00,0,0.00,0,0.00,,,,
1977-02-02,1,mercredi,6/49,regulier,1-5-23-25-41-42,,43,,0,0.00,5,406036.00,237,12849.00,19794,153.00,129793,10.00,0,0.00,0,0.00,,,,
1977-02-09,1,mercredi,6/49,regulier,1-11-22-25-28-40,,46,,3,1083475.00,13,85974.00,387,8664.00,24907,134.00,492423,9.00,0,0.00,0,0.00,,,,
1977-02-16,1,mercredi,6/49,regulier,11-13-28-31-37-44,,24,,2,1171462.00,13,90112.00,441,7969.00,25423,138.00,478943,10.00,0,0.00,0,0.00,,,,
1977-02-23,1,mercredi,6/49,regulier,22-25-34-42-43-44,,32,,1,2402062.00,14,85787.00,252,14297.00,17699,203.00,383179,13.00,0,0.00,0,0.00,,,,
1977-03-02,1,mercredi,6/49,regulier,6-10-22-26-27-33,,46,,2,1351615.00,14,96543.00,502,8077.00,35062,115.00,708610,8.00,0,0.00,0,0.00,,,,
